CodCopidrogas,EAN BARRAS
200036306,7707254791779
100019306,7707351591500
100019305,7707351592569
200036237,7702001124749
100018861,7707351591395
100016627,7707351591173
100015947,7707351591869
200035010,7702010880636
200035011,7702010880797
100022099,7702184020432
100022007,7702184020425
200033838,7702031815495
100020840,7707351591487
100020841,7707351591272
100021838,7707351591425
100021098,7707351599193
200026810,7702044187916
100019307,7707351592842
100019366,7707351592705
100019367,7707351592491
100023221,7707351592286
100016184,7707351598349
100015848,7707351591333
100018601,7707351591326
100017142,7707351591159
200037194,606110332385
100015724,7707351591401
200032063,7891024009086
100015725,7707351591418
100018691,7707351591456
200035842,7702006201285
100018692,7707351591470
100017957,7707351591791
100016140,7707351596253
100016626,7707351596277
200034100,7702277148111
200034099,7702277148104
200022351,7707351591845
200036421,7702010611063
100022362,7707351599735
200033867,7709104404440
100013687,7703331710879
100000041,7703186555823
100000042,7703186568212
100024317,7703186032317
100024318,7703186032324
200026637,7702006923194
200034003,7703186031303
200034002,7703186031310
200034040,7703186031402
100022232,7703186030276
200031450,7702277130178
200033837,7702030000000
100020058,8427030004549
100022774,7703186030108
200004360,70074100579
200031350,7702277121312
200034873,7702277135098
200034885,7702277147268
200034883,7702277147244
200031347,7702277121299
200034863,7702277126812
200034884,7702277147251
200031120,7702044221689
200025827,7702044170994
200024545,7702044170970
200026410,7702044190848
200035380,7702044238816
200035262,7702044240451
200027720,7702044171007
200022698,7702044164870
200030402,7702044163866
200024544,7702044170987
200035261,7702044240437
200032713,7500435018487
100022601,7703186030306
200034997,7702044239158
200032690,7702044226127
100010364,8427030003191
100010362,8427030003177
100019542,8427030003184
100010363,8427030003153
100019543,8427030003160
200034335,7703186031457
100023448,7703186031525
100022603,7703186030283
100012983,8427030001944
200034724,7702044239509
200030395,7702044160988
200035934,7702044237017
200035259,7702044240376
100015261,8427030001821
100024481,7703186032423
200035553,7702045553437
100000080,7703186920713
100000081,7703186921413
200032276,7703186029294
100019901,5391523050005
200031756,7702045548570
100021116,5391523051293
100010393,5391523050029
200031758,7702045549706
100010395,5391523050043
100021118,5391523051316
100021117,5391523051309
100019674,8427030004860
200029437,7702045540819
100023228,7501033959967
100023229,7501033959974
100023230,7501033959981
100023227,7501033959950
100017630,7501033957413
200032270,7411000354650
200027253,7702006919586
100017629,7501033957406
200019322,7702006915298
100017631,7501033957369
200025826,7702044187459
200030913,7702044219280
100017632,7501033957376
200030393,7702044181686
200034070,7703186031198
200034071,7703186031204
